Cntxt	ID	Choice	x11	x12	x13	x14	x21	x22	x23	x24	x31	x32	x33	x34	AV1	AV2	AV3
1	70	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	70	2	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	70	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	70	1	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	70	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	71	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	71	2	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	71	2	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	71	2	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	71	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	71	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	71	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	71	2	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	71	3	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	72	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	72	1	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	72	3	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	72	3	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	72	2	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	72	3	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	72	1	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	72	1	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	72	3	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	73	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	73	1	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	73	3	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	73	1	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	73	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	73	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	73	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	73	2	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	73	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	82	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	82	3	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	82	2	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	82	2	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	82	2	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	82	3	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	82	1	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	82	1	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	82	3	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	83	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	83	1	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	83	1	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	83	3	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	83	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	83	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	83	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	83	2	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	83	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	84	3	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	84	2	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	84	1	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	84	1	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	84	3	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	84	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	84	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	84	2	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	84	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	86	1	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	86	3	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	86	2	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	86	2	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	86	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	86	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	86	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	86	2	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	86	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	92	1	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	92	1	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	92	2	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	92	2	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	92	3	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
